number,value,datetime_start,datetime_complete,duration,params_latent_dim,params_learning_rate,state
0,0.009136359207332134,2025-05-19 12:50:38.816773,2025-05-19 12:50:42.830373,0 days 00:00:04.013600,200,0.0015160027447881754,COMPLETE
1,0.013874192722141743,2025-05-19 12:50:42.831044,2025-05-19 12:50:46.720046,0 days 00:00:03.889002,100,0.0034006190748047155,COMPLETE
